# update: 2020-01-24 09:47:38 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|1|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|2|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|26|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|43|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|549|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|53|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|2|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|4|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-24 09:57:44 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebei|2|1||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei|549|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningxia|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi|13|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan|2|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi|7|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhui|15|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jilin|1|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujian|5|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizhou|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang|43|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing|26|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning|3|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heilongjiang|4|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong|53|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansu|2|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# update: 2020-01-24 10:03:47 CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# place|confirmed_cases|deaths|notes|sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong|9|0||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
