# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-22 03:28:10 CST
# place|confirmed_cases|deaths|notes|sources
Ningxia|0|0||
Anhui|0|0||
Guangdong|17|0||
Beijing|10|0||
Henan|1|0||
Hainan|0|0||
Guangxi|0|0||
Zhejiang|5|0||
Shanghai|6|0||
Sichuan|1|0||
Liaoning|0|0||
Chongqing|5|0||
Tianjin|2|0||
Jiangxi|0|0||
Jilin|0|0||
Guizhou|0|0||
Shandong|1|0||
Hunan|1|0||
Heilongjiang|0|0||
Hong Kong|0|0||
Taiwan|1|0||
Yunnan|1|0||
Hubei|270|6||
# update: 2020-01-22 08:23:14 CST
# place|confirmed_cases|deaths|notes|sources
Ningxia|0|0||
Guangxi|0|0||
Zhejiang|5|0||
Henan|1|0||
Sichuan|1|0||
Guangdong|17|0||
Hainan|0|0||
Tianjin|2|0||
Jiangxi|2|0||
Hong Kong|0|0||
Heilongjiang|0|0||
Hunan|1|0||
Beijing|10|0||
Anhui|0|0||
Shanghai|6|0||
Chongqing|5|0||
Yunnan|1|0||
Hubei|270|6||
Jilin|0|0||
Guizhou|0|0||
Shandong|1|0||
Liaoning|0|0||
Taiwan|1|0||
# update: 2020-01-22 08:25:14 CST
# place|confirmed_cases|deaths|notes|sources
Jiangxi|2|0||
Hong Kong|0|0||
Hubei|270|6||
Zhejiang|5|0||
Sichuan|2|0||
Tianjin|2|0||
Heilongjiang|0|0||
Guangdong|17|0||
Hainan|0|0||
Yunnan|1|0||
Jilin|0|0||
Guizhou|0|0||
Shanghai|6|0||
Chongqing|5|0||
Hunan|1|0||
Beijing|10|0||
Henan|1|0||
Ningxia|0|0||
Anhui|0|0||
Shandong|1|0||
Liaoning|0|0||
Taiwan|1|0||
Guangxi|0|0||
# update: 2020-01-22 10:39:34 CST
# place|confirmed_cases|deaths|notes|sources
Yunnan|1|0||
Guizhou|0|0||
Taiwan|1|0||
Sichuan|2|0||
Hainan|0|0||
Shanghai|9|0||
Chongqing|5|0||
Hunan|1|0||
Beijing|10|0||
Henan|1|0||
Shandong|1|0||
Tianjin|2|0||
Guangdong|17|0||
Hong Kong|0|0||
Ningxia|0|0||
Anhui|0|0||
Liaoning|0|0||
Guangxi|0|0||
Jiangxi|2|0||
Hubei|270|6||
Heilongjiang|0|0||
Jilin|0|0||
Zhejiang|5|0||
# update: 2020-01-22 11:11:42 CST
# place|confirmed_cases|deaths|notes|sources
Liaoning|0|0||
Henan|1|0||
Shandong|1|0||
Shanghai|9|0||
Chongqing|5|0||
Hong Kong|0|0||
Jiangxi|2|0||
Anhui|0|0||
Yunnan|1|0||
Beijing|10|0||
Guangxi|0|0||
Heilongjiang|0|0||
Sichuan|2|0||
Guizhou|0|0||
Guangdong|17|0||
Hubei|270|9||
Jilin|0|0||
Ningxia|0|0||
Hainan|0|0||
Taiwan|1|0||
Tianjin|2|0||
Hunan|1|0||
Zhejiang|5|0||
# update: 2020-01-22 11:32:49 CST
# place|confirmed_cases|deaths|notes|sources
Chongqing|5|0||
Jiangxi|2|0||
Anhui|0|0||
Henan|1|0||
Guangxi|0|0||
Sichuan|2|0||
Hubei|270|9||
Ningxia|0|0||
Tianjin|2|0||
Shandong|1|0||
Hong Kong|0|0||
Yunnan|1|0||
Guizhou|0|0||
Beijing|10|0||
Shanghai|9|0||
Hunan|1|0||
Zhejiang|5|0||
Liaoning|0|0||
Heilongjiang|0|0||
Jilin|0|0||
Hainan|0|0||
Taiwan|1|0||
Guangdong|17|0||
Macau|1|0||
# update: 2020-01-22 13:06:15 CST
# place|confirmed_cases|deaths|notes|sources
Ningxia|0|0||
Jiangxi|2|0||
Beijing|10|0||
Zhejiang|5|0||
Jilin|0|0||
Heilongjiang|0|0||
Guangxi|0|0||
Chongqing|5|0||
Guizhou|0|0||
Shandong|1|0||
Shanghai|9|0||
Guangdong|26|0||
Macau|1|0||
Liaoning|0|0||
Anhui|0|0||
Sichuan|2|0||
Hubei|270|9||
Hong Kong|0|0||
Hunan|1|0||
Hainan|0|0||
Taiwan|1|0||
Henan|1|0||
Tianjin|2|0||
Yunnan|1|0||
# update: 2020-01-22 13:07:16 CST
# place|confirmed_cases|deaths|notes|sources
Tianjin|2|0||
Hubei|270|9||
Shandong|1|0||
Shanghai|9|0||
Guangdong|26|0||
Liaoning|0|0||
Taiwan|1|0||
Henan|1|0||
Beijing|10|0||
Zhejiang|10|0||
Jilin|0|0||
Guangxi|0|0||
Macau|1|0||
Sichuan|2|0||
Ningxia|0|0||
Guizhou|0|0||
Hong Kong|0|0||
Hainan|0|0||
Heilongjiang|0|0||
Chongqing|5|0||
Anhui|0|0||
Yunnan|1|0||
Hunan|1|0||
Jiangxi|2|0||
# update: 2020-01-22 14:40:44 CST
# place|confirmed_cases|deaths|notes|sources
Anhui|0|0||
Jiangxi|2|0||
Hubei|270|9||
Beijing|10|0||
Guizhou|0|0||
Hunan|1|0||
Sichuan|2|0||
Hainan|0|0||
Heilongjiang|0|0||
Yunnan|1|0||
Henan|4|0||
Tianjin|2|0||
Zhejiang|10|0||
Jilin|0|0||
Ningxia|0|0||
Shandong|1|0||
Shanghai|9|0||
Guangdong|26|0||
Liaoning|0|0||
Taiwan|1|0||
Guangxi|0|0||
Macau|1|0||
Hong Kong|0|0||
Chongqing|5|0||
# update: 2020-01-22 14:41:44 CST
# place|confirmed_cases|deaths|notes|sources
Jilin|0|0||
Shandong|1|0||
Shanghai|9|0||
Guangxi|0|0||
Heilongjiang|0|0||
Henan|4|0||
Tianjin|4|0||
Sichuan|2|0||
Hainan|0|0||
Ningxia|0|0||
Liaoning|0|0||
Jiangxi|2|0||
Beijing|10|0||
Guizhou|0|0||
Hunan|1|0||
Yunnan|1|0||
Zhejiang|10|0||
Guangdong|26|0||
Taiwan|1|0||
Chongqing|5|0||
Hubei|270|9||
Macau|1|0||
Hong Kong|0|0||
Anhui|0|0||
# update: 2020-01-22 15:21:55 CST
# place|confirmed_cases|deaths|notes|sources
Beijing|10|0||
Liaoning|0|0||
Yunnan|1|0||
Zhejiang|10|0||
Hubei|270|9||
Taiwan|1|0||
Hong Kong|0|0||
Hainan|0|0||
Heilongjiang|0|0||
Henan|1|0||
Shandong|1|0||
Hunan|1|0||
Sichuan|2|0||
Ningxia|0|0||
Macau|1|0||
Anhui|0|0||
Guangdong|26|0||
Chongqing|5|0||
Shanghai|9|0||
Guangxi|0|0||
Guizhou|0|0||
Jiangxi|2|0||
Tianjin|4|0||
Jilin|0|0||
# update: 2020-01-22 16:46:21 CST
# place|confirmed_cases|deaths|notes|sources
Tianjin|4|0||
Yunnan|1|0||
Macau|1|0||
Hainan|4|0||
Heilongjiang|0|0||
Guangxi|0|0||
Zhejiang|10|0||
Hubei|375|9||
Liaoning|0|0||
Shandong|1|0||
Hunan|1|0||
Chongqing|5|0||
Guizhou|0|0||
Taiwan|1|0||
Hong Kong|0|0||
Beijing|10|0||
Sichuan|2|0||
Ningxia|0|0||
Anhui|0|0||
Henan|1|0||
Jiangxi|2|0||
Jilin|0|0||
Shanghai|9|0||
Guangdong|26|0||
# update: 2020-01-22 16:47:22 CST
# place|confirmed_cases|deaths|notes|sources
Hong Kong|0|0||
Anhui|0|0||
Heilongjiang|0|0||
Guangxi|0|0||
Chongqing|5|0||
Taiwan|1|0||
Beijing|10|0||
Tianjin|4|0||
Liaoning|2|0||
Hunan|1|0||
Zhejiang|10|0||
Hubei|375|9||
Shandong|1|0||
Henan|1|0||
Guangdong|26|0||
Yunnan|1|0||
Macau|1|0||
Hainan|4|0||
Guizhou|0|0||
Sichuan|2|0||
Ningxia|0|0||
Jiangxi|2|0||
Jilin|0|0||
Shanghai|9|0||
# update: 2020-01-22 16:48:22 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|375|9||
Yunnan|1|0||
Anhui|0|0||
Heilongjiang|0|0||
Taiwan|1|0||
Tianjin|4|0||
Jiangxi|2|0||
Jilin|0|0||
Hunan|1|0||
Guangdong|26|0||
Sichuan|2|0||
Ningxia|0|0||
Shandong|1|0||
Henan|1|0||
Macau|1|0||
Hainan|4|0||
Guangxi|0|0||
Hong Kong|0|0||
Beijing|10|0||
Liaoning|2|0||
Zhejiang|10|0||
Shanxi|0|0||
Chongqing|5|0||
Shanghai|9|0||
Guizhou|0|0||
# update: 2020-01-22 17:28:34 CST
# place|confirmed_cases|deaths|notes|sources
Guangdong|26|0||
Ningxia|0|0||
Guangxi|0|0||
Anhui|1|0||
Tianjin|4|0||
Hunan|1|0||
Hainan|4|0||
Liaoning|2|0||
Shanxi|0|0||
Guizhou|0|0||
Heilongjiang|0|0||
Hubei|375|9||
Jiangxi|2|0||
Macau|1|0||
Beijing|10|0||
Shanghai|9|0||
Sichuan|2|0||
Hong Kong|0|0||
Shandong|1|0||
Henan|1|0||
Zhejiang|10|0||
Chongqing|5|0||
Taiwan|1|0||
Yunnan|1|0||
Jilin|0|0||
# update: 2020-01-22 18:19:49 CST
# place|confirmed_cases|deaths|notes|sources
Anhui|1|0||
Liaoning|2|0||
Hubei|375|9||
Shanghai|9|0||
Shandong|1|0||
Hunan|1|0||
Jiangxi|2|0||
Macau|1|0||
Hong Kong|0|0||
Zhejiang|10|0||
Ningxia|0|0||
Beijing|10|0||
Jilin|0|0||
Henan|1|0||
Fujian|1|0||
Heilongjiang|0|0||
Guangxi|0|0||
Tianjin|4|0||
Hainan|4|0||
Shanxi|0|0||
Guizhou|0|0||
Sichuan|2|0||
Chongqing|5|0||
Guangdong|26|0||
Yunnan|1|0||
Taiwan|1|0||
# update: 2020-01-22 18:26:51 CST
# place|confirmed_cases|deaths|notes|sources
Tianjin|4|0||
Shanxi|0|0||
Guizhou|1|0||
Anhui|1|0||
Hubei|375|9||
Macau|1|0||
Zhejiang|10|0||
Hong Kong|0|0||
Fujian|1|0||
Heilongjiang|0|0||
Guangxi|0|0||
Sichuan|2|0||
Taiwan|1|0||
Liaoning|2|0||
Shanghai|9|0||
Hainan|4|0||
Guangdong|26|0||
Shandong|1|0||
Ningxia|0|0||
Beijing|10|0||
Jilin|0|0||
Henan|1|0||
Chongqing|5|0||
Yunnan|1|0||
Hunan|1|0||
Jiangxi|2|0||
# update: 2020-01-22 18:45:57 CST
# place|confirmed_cases|deaths|notes|sources
Henan|1|0||
Zhejiang|10|0||
Hong Kong|0|0||
Heilongjiang|0|0||
Guangxi|0|0||
Hunan|4|0||
Shanxi|0|0||
Liaoning|2|0||
Sichuan|2|0||
Ningxia|0|0||
Tianjin|4|0||
Jilin|0|0||
Chongqing|5|0||
Yunnan|1|0||
Macau|1|0||
Shanghai|9|0||
Fujian|1|0||
Jiangxi|2|0||
Beijing|10|0||
Guizhou|1|0||
Hubei|375|9||
Anhui|1|0||
Taiwan|1|0||
Hainan|4|0||
Guangdong|26|0||
Shandong|1|0||
# update: 2020-01-22 18:48:58 CST
# place|confirmed_cases|deaths|notes|sources
Hunan|4|0||
Ningxia|0|0||
Jilin|0|0||
Yunnan|1|0||
Fujian|1|0||
Anhui|1|0||
Hainan|4|0||
Guangdong|26|0||
Heilongjiang|0|0||
Hong Kong|0|0||
Shanxi|1|0||
Sichuan|2|0||
Chongqing|5|0||
Macau|1|0||
Guizhou|1|0||
Taiwan|1|0||
Zhejiang|10|0||
Guangxi|0|0||
Henan|1|0||
Tianjin|4|0||
Liaoning|2|0||
Beijing|10|0||
Shanghai|9|0||
Jiangxi|2|0||
Hubei|375|9||
Shandong|1|0||
# update: 2020-01-22 18:52:59 CST
# place|confirmed_cases|deaths|notes|sources
Hainan|4|0||
Sichuan|2|0||
Chongqing|6|0||
Taiwan|1|0||
Hubei|375|9||
Ningxia|0|0||
Yunnan|1|0||
Guangdong|26|0||
Macau|1|0||
Zhejiang|10|0||
Liaoning|2|0||
Beijing|10|0||
Jilin|0|0||
Heilongjiang|0|0||
Hong Kong|0|0||
Guizhou|1|0||
Guangxi|0|0||
Hunan|4|0||
Anhui|1|0||
Shandong|1|0||
Fujian|1|0||
Shanxi|1|0||
Henan|1|0||
Tianjin|4|0||
Shanghai|9|0||
Jiangxi|2|0||
# update: 2020-01-22 18:55:00 CST
# place|confirmed_cases|deaths|notes|sources
Shandong|1|0||
Henan|1|0||
Tianjin|4|0||
Ningxia|0|0||
Hubei|375|9||
Anhui|1|0||
Guangxi|0|0||
Shanxi|1|0||
Shanghai|9|0||
Hainan|4|0||
Macau|1|0||
Beijing|10|0||
Hong Kong|0|0||
Hunan|4|0||
Jiangxi|2|0||
Fujian|1|0||
Sichuan|5|0||
Yunnan|1|0||
Zhejiang|10|0||
Guizhou|1|0||
Chongqing|6|0||
Taiwan|1|0||
Jilin|0|0||
Guangdong|26|0||
Liaoning|2|0||
Heilongjiang|0|0||
# update: 2020-01-22 19:19:07 CST
# place|confirmed_cases|deaths|notes|sources
Chongqing|6|0||
Macau|1|0||
Shanxi|1|0||
Hainan|4|0||
Sichuan|5|0||
Taiwan|1|0||
Shandong|1|0||
Tianjin|4|0||
Yunnan|1|0||
Guizhou|1|0||
Jiangxi|2|0||
Guangdong|26|0||
Liaoning|2|0||
Guangxi|0|0||
Hong Kong|0|0||
Hunan|4|0||
Zhejiang|10|0||
Fujian|1|0||
Beijing|10|0||
Shanghai|9|0||
Heilongjiang|0|0||
Jilin|0|0||
Ningxia|1|0||
Hubei|375|9||
Anhui|1|0||
Henan|1|0||
# update: 2020-01-22 19:28:10 CST
# place|confirmed_cases|deaths|notes|sources
Henan|1|0||
Sichuan|5|0||
Taiwan|1|0||
Jiangxi|2|0||
Guangxi|2|0||
Hong Kong|0|0||
Fujian|1|0||
Jilin|0|0||
Chongqing|6|0||
Hubei|375|9||
Anhui|1|0||
Ningxia|1|0||
Macau|1|0||
Tianjin|4|0||
Yunnan|1|0||
Guizhou|1|0||
Hunan|4|0||
Zhejiang|10|0||
Shanghai|9|0||
Shanxi|1|0||
Hainan|4|0||
Shandong|1|0||
Guangdong|26|0||
Liaoning|2|0||
Beijing|10|0||
Heilongjiang|0|0||
# update: 2020-01-22 19:31:11 CST
# place|confirmed_cases|deaths|notes|sources
Tianjin|4|0||
Yunnan|1|0||
Hunan|4|0||
Guangdong|26|0||
Jiangxi|2|0||
Jilin|0|0||
Macau|1|0||
Anhui|1|0||
Zhejiang|10|0||
Liaoning|2|0||
Beijing|10|0||
Heilongjiang|0|0||
Henan|5|0||
Chongqing|6|0||
Shanxi|1|0||
Shandong|1|0||
Sichuan|5|0||
Taiwan|1|0||
Guizhou|1|0||
Shanghai|9|0||
Ningxia|1|0||
Hainan|4|0||
Guangxi|2|0||
Hong Kong|0|0||
Fujian|1|0||
Hubei|375|9||
# update: 2020-01-22 22:13:26 CST
# place|confirmed_cases|deaths|notes|sources
Sichuan|5|0||
Guizhou|1|0||
Ningxia|1|0||
Hubei|375|9||
Macau|1|0||
Anhui|1|0||
Heilongjiang|0|0||
Shandong|2|0||
Fujian|1|0||
Hunan|4|0||
Yunnan|1|0||
Jiangxi|2|0||
Jilin|0|0||
Beijing|10|0||
Chongqing|6|0||
Shanghai|9|0||
Shanxi|1|0||
Taiwan|1|0||
Hainan|4|0||
Guangxi|2|0||
Hong Kong|0|0||
Zhejiang|10|0||
Liaoning|2|0||
Henan|5|0||
Tianjin|4|0||
Guangdong|26|0||
# update: 2020-01-22 22:30:37 CST
# place|confirmed_cases|deaths|notes|sources
Liaoning|2|0||
Henan|5|0||
Taiwan|1|0||
Guangxi|2|0||
Heilongjiang|0|0||
Ningxia|1|0||
Macau|1|0||
Anhui|1|0||
Yunnan|1|0||
Shanxi|1|0||
Tianjin|4|0||
Sichuan|5|0||
Hubei|444|17||
Fujian|1|0||
Jiangxi|2|0||
Beijing|10|0||
Hainan|4|0||
Hong Kong|0|0||
Zhejiang|10|0||
Guangdong|26|0||
Shandong|2|0||
Guizhou|1|0||
Hunan|4|0||
Chongqing|6|0||
Shanghai|9|0||
