place,date_time,confirm,deaths
Anhui,2020-01-24,15.0,0.0
Anhui,2020-01-25,26.076923076923077,0.0
Anhui,2020-01-26,53.0,0.0
Anhui,2020-01-27,67.5,0.0
Anhui,2020-01-28,100.6,0.0
Anhui,2020-01-29,150.62962962962962,0.0
Anhui,2020-01-30,185.77777777777777,0.0
Anhui,2020-01-31,226.42857142857142,0.0
Anhui,2020-02-01,283.15384615384613,0.0
Anhui,2020-02-02,330.2903225806452,0.0
Anhui,2020-02-03,340.0,0.0
Beijing,2020-01-24,27.85,0.0
Beijing,2020-01-25,37.15384615384615,0.0
Beijing,2020-01-26,49.833333333333336,0.0
Beijing,2020-01-27,71.33333333333333,0.08333333333333333
Beijing,2020-01-28,83.3,1.0
Beijing,2020-01-29,97.03703703703704,1.0
Beijing,2020-01-30,112.44444444444444,1.0
Beijing,2020-01-31,126.32142857142857,1.0
Beijing,2020-02-01,149.74358974358975,1.0
Beijing,2020-02-02,179.48387096774192,1.0
Beijing,2020-02-03,191.0,1.0
CHINA TOTAL,2020-01-25,1360.6,41.0
CHINA TOTAL,2020-01-26,7.017059296037988e+56,5.001733333383332e+33
CHINA TOTAL,2020-01-27,8.817592540313081e+56,4.333416666675e+32
CHINA TOTAL,2020-01-28,4302.65,102.4
CHINA TOTAL,2020-01-29,5966.148148148148,131.03703703703704
CHINA TOTAL,2020-01-30,7502.444444444444,165.92592592592592
CHINA TOTAL,2020-01-31,9429.17857142857,208.5
CHINA TOTAL,2020-02-01,11660.564102564103,257.71794871794873
CHINA TOTAL,2020-02-02,14313.90322580645,304.03225806451616
CHINA TOTAL,2020-02-03,14530.5,305.0
Chongqing,2020-01-24,24.3,0.0
Chongqing,2020-01-25,40.84615384615385,0.0
Chongqing,2020-01-26,69.0,0.0
Chongqing,2020-01-27,98.33333333333333,0.0
Chongqing,2020-01-28,127.6,0.0
Chongqing,2020-01-29,145.33333333333334,0.0
Chongqing,2020-01-30,168.7037037037037,0.0
Chongqing,2020-01-31,203.82142857142858,0.0
Chongqing,2020-02-01,239.84615384615384,0.717948717948718
Chongqing,2020-02-02,264.8709677419355,1.0
Chongqing,2020-02-03,300.0,2.0
Fujian,2020-01-24,7.25,0.0
Fujian,2020-01-25,12.461538461538462,0.0
Fujian,2020-01-26,18.0,0.0
Fujian,2020-01-27,49.5,0.0
Fujian,2020-01-28,67.4,0.0
Fujian,2020-01-29,82.14814814814815,0.0
Fujian,2020-01-30,93.44444444444444,0.0
Fujian,2020-01-31,109.14285714285714,0.0
Fujian,2020-02-01,132.92307692307693,0.0
Fujian,2020-02-02,152.70967741935485,0.0
Fujian,2020-02-03,159.0,0.0
Gansu,2020-01-24,2.0,0.0
Gansu,2020-01-25,3.3846153846153846,0.0
Gansu,2020-01-26,6.0,0.0
Gansu,2020-01-27,11.666666666666666,0.0
Gansu,2020-01-28,18.0,0.0
Gansu,2020-01-29,23.814814814814813,0.0
Gansu,2020-01-30,25.25925925925926,0.0
Gansu,2020-01-31,28.464285714285715,0.0
Gansu,2020-02-01,35.256410256410255,0.0
Gansu,2020-02-02,40.0,0.0
Gansu,2020-02-03,45.5,0.0
Guangdong,2020-01-24,53.0,0.0
Guangdong,2020-01-25,64.53846153846153,0.0
Guangdong,2020-01-26,91.33333333333333,0.0
Guangdong,2020-01-27,136.41666666666666,0.0
Guangdong,2020-01-28,184.4,0.0
Guangdong,2020-01-29,246.11111111111111,0.0
Guangdong,2020-01-30,308.2962962962963,0.0
Guangdong,2020-01-31,388.14285714285717,0.0
Guangdong,2020-02-01,504.0769230769231,0.0
Guangdong,2020-02-02,596.0645161290323,0.0
Guangdong,2020-02-03,632.0,0.0
Guangxi,2020-01-24,13.0,0.0
Guangxi,2020-01-25,23.0,0.0
Guangxi,2020-01-26,31.333333333333332,0.0
Guangxi,2020-01-27,43.5,0.0
Guangxi,2020-01-28,50.5,0.0
Guangxi,2020-01-29,57.74074074074074,0.0
Guangxi,2020-01-30,73.55555555555556,0.0
Guangxi,2020-01-31,84.42857142857143,0.0
Guangxi,2020-02-01,98.33333333333333,0.0
Guangxi,2020-02-02,110.29032258064517,0.0
Guangxi,2020-02-03,111.0,0.0
Guizhou,2020-01-24,3.0,0.0
Guizhou,2020-01-25,3.4615384615384617,0.0
Guizhou,2020-01-26,4.666666666666667,0.0
Guizhou,2020-01-27,6.333333333333333,0.0
Guizhou,2020-01-28,8.7,0.0
Guizhou,2020-01-29,9.0,0.0
Guizhou,2020-01-30,11.11111111111111,0.0
Guizhou,2020-01-31,16.535714285714285,0.0
Guizhou,2020-02-01,29.0,0.0
Guizhou,2020-02-02,36.83870967741935,0.0
Guizhou,2020-02-03,38.0,0.0
Hainan,2020-01-24,7.25,0.0
Hainan,2020-01-25,11.76923076923077,0.0
Hainan,2020-01-26,20.5,0.0
Hainan,2020-01-27,29.0,0.6666666666666666
Hainan,2020-01-28,38.25,0.9
Hainan,2020-01-29,42.55555555555556,0.9259259259259259
Hainan,2020-01-30,44.333333333333336,1.0
Hainan,2020-01-31,49.607142857142854,1.0
Hainan,2020-02-01,57.30769230769231,1.1538461538461537
Hainan,2020-02-02,63.0,1.0
Hainan,2020-02-03,64.0,1.0
Hebei,2020-01-24,1.95,1.0
Hebei,2020-01-25,4.769230769230769,1.0
Hebei,2020-01-26,11.333333333333334,1.0
